 ****************** Start US v. 1.9 at 07-Dec-12 12:15:18 ******************
 
 output,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 sigx     1.070  mm   sigy    0.081 mm   sigx1  0.1433 mr   sigy1  0.0135 mr
 period   2.440  cm   N          40      Kx      0.000      Ky      2.350
 emin     500.0  eV   emax 100000.0 eV   ne       4999
 d       20.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      0.000  mm   yps     0.000 mm   nxp        10      nyp        10
 mode         4       method      4      iharm       0   
 nphi        20       nalpha     15      calpha2   2.0
 nomega      64       comega    8.0      nsigma      3
 
 e1      2906.6  eV   l1      4.266  A
 ptot    4613.7   W   pd      217.5  W/mm^2
 
 
 Flux through   0.000 mm x  0.000 mm pinhole at  0.000 mm,  0.000 mm @ 20.000 m:
 Integrated flux   5.542E+04 ph/s
 Integrated power        0.0 W
 Contributing harmonics    1 to   55
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
    500.000   2.087830E-02     0.982   0.000   0.000   0.018
    519.904   2.691191E-02     0.982   0.000   0.000   0.018
    539.808   3.217521E-02     0.982   0.000   0.000   0.018
    559.712   3.757527E-02     0.981   0.000   0.000   0.019
    579.616   4.355263E-02     0.981   0.000   0.000   0.019
    599.520   4.992677E-02     0.981   0.000   0.000   0.019
    619.424   5.655237E-02     0.980   0.000   0.000   0.020
    639.328   6.347353E-02     0.980   0.000   0.000   0.020
    659.232   7.066568E-02     0.980   0.000   0.000   0.020
    679.136   7.804602E-02     0.979   0.000   0.000   0.021
    699.040   8.557971E-02     0.979   0.000   0.000   0.021
    718.944   9.318908E-02     0.978   0.000   0.000   0.022
    738.848   1.007536E-01     0.978   0.000   0.000   0.022
    758.752   1.083684E-01     0.977   0.000   0.000   0.023
    778.656   1.160002E-01     0.976   0.000   0.000   0.024
    798.560   1.233836E-01     0.976   0.000   0.000   0.024
    818.464   1.305249E-01     0.975   0.000   0.000   0.025
    838.368   1.382399E-01     0.973   0.000   0.000   0.027
    858.272   1.473883E-01     0.969   0.000   0.000   0.031
    878.176   1.576175E-01     0.964   0.000   0.000   0.036
    898.080   1.676807E-01     0.959   0.000   0.000   0.041
    917.984   1.770242E-01     0.955   0.000   0.000   0.045
    937.888   1.861552E-01     0.952   0.000   0.000   0.048
    957.792   1.953754E-01     0.950   0.000   0.000   0.050
    977.696   2.039063E-01     0.947   0.000   0.000   0.053
    997.600   2.109509E-01     0.945   0.000   0.000   0.055
   1017.504   2.166951E-01     0.941   0.000   0.000   0.059
   1037.407   2.218123E-01     0.938   0.000   0.000   0.062
   1057.311   2.265045E-01     0.935   0.000   0.000   0.065
   1077.215   2.305402E-01     0.931   0.000   0.000   0.069
   1097.119   2.338375E-01     0.927   0.000   0.000   0.073
   1117.023   2.365210E-01     0.923   0.000   0.000   0.077
   1136.927   2.385886E-01     0.918   0.000   0.000   0.082
   1156.831   2.399077E-01     0.913   0.000   0.000   0.087
   1176.735   2.405261E-01     0.908   0.000   0.000   0.092
   1196.639   2.405053E-01     0.902   0.000   0.000   0.098
   1216.543   2.398130E-01     0.896   0.000   0.000   0.104
   1236.447   2.383990E-01     0.889   0.000   0.000   0.111
   1256.351   2.363358E-01     0.882   0.000   0.000   0.118
   1276.255   2.337012E-01     0.874   0.000   0.000   0.126
   1296.159   2.304405E-01     0.866   0.000   0.000   0.134
   1316.063   2.265413E-01     0.857   0.000   0.000   0.143
   1335.967   2.222648E-01     0.846   0.000   0.000   0.154
   1355.871   2.179625E-01     0.832   0.000   0.000   0.168
   1375.775   2.139106E-01     0.814   0.000   0.000   0.186
   1395.679   2.100455E-01     0.792   0.000   0.000   0.208
   1415.583   2.062986E-01     0.771   0.000   0.000   0.229
   1435.487   2.025741E-01     0.752   0.000   0.000   0.248
   1455.391   1.985831E-01     0.734   0.000   0.000   0.266
   1475.295   1.939889E-01     0.714   0.000   0.000   0.286
   1495.199   1.888191E-01     0.692   0.000   0.000   0.308
   1515.103   1.835344E-01     0.669   0.000   0.000   0.331
   1535.007   1.785908E-01     0.644   0.000   0.000   0.356
   1554.911   1.741550E-01     0.619   0.000   0.000   0.381
   1574.815   1.701027E-01     0.594   0.000   0.000   0.406
   1594.719   1.669719E-01     0.569   0.000   0.000   0.431
   1614.623   1.648128E-01     0.546   0.000   0.000   0.454
   1634.527   1.637931E-01     0.526   0.000   0.000   0.474
   1654.431   1.642036E-01     0.509   0.000   0.000   0.491
   1674.335   1.663187E-01     0.498   0.000   0.000   0.502
   1694.239   1.702336E-01     0.491   0.000   0.000   0.509
   1714.143   1.763139E-01     0.492   0.000   0.000   0.508
   1734.047   1.856771E-01     0.499   0.000   0.000   0.501
   1753.951   1.995394E-01     0.511   0.000   0.000   0.489
   1773.855   2.174675E-01     0.523   0.000   0.000   0.477
