 ****************** Start WS v. 1.5 at 24-Sep-12 18:16:16 ******************
 
 multi none revert,0,0,0,0,0,0
 energy   5.300 GeV   current 250.0 mA
 period  12.000  cm   N        49.0      Kx      0.000      Ky      9.000
 emin     500.0  eV   emax 100000.0 eV   ne       5000
 d       20.000   m   xpc     1.000 mm   ypc     0.500 mm
 xps      0.500  mm   yps     0.250 mm   nxp        10      nyp        10
 
 b0       0.803   T   ec0    15.005  keV
 e1        53.6  eV   l1    231.466  A
 ptot   16855.5   W   pd      210.2  W/mm^2
 
 Flux through   0.500 mm x  0.250 mm pinhole at  1.000 mm,  0.500 mm @ 20.000 m:
 Integrated flux   1.202E+16 ph/s
 Integrated power       23.1 W
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
    500.000   8.590643E+11     0.981   0.000   0.000   0.019
    519.904   8.814033E+11     0.980   0.000   0.000   0.020
    539.808   9.034297E+11     0.980   0.000   0.000   0.020
    559.712   9.251575E+11     0.979   0.000   0.000   0.021
    579.616   9.465995E+11     0.979   0.000   0.000   0.021
    599.520   9.677675E+11     0.979   0.000   0.000   0.021
    619.424   9.886725E+11     0.978   0.000   0.000   0.022
    639.328   1.009325E+12     0.978   0.000   0.000   0.022
    659.232   1.029733E+12     0.977   0.000   0.000   0.023
    679.136   1.049907E+12     0.977   0.000   0.000   0.023
    699.040   1.069854E+12     0.977   0.000   0.000   0.023
    718.944   1.089582E+12     0.976   0.000   0.000   0.024
    738.848   1.109098E+12     0.976   0.000   0.000   0.024
    758.752   1.128409E+12     0.976   0.000   0.000   0.024
    778.656   1.147521E+12     0.975   0.000   0.000   0.025
    798.560   1.166439E+12     0.975   0.000   0.000   0.025
    818.464   1.185171E+12     0.975   0.000   0.000   0.025
    838.368   1.203720E+12     0.974   0.000   0.000   0.026
    858.272   1.222091E+12     0.974   0.000   0.000   0.026
    878.176   1.240290E+12     0.974   0.000   0.000   0.026
    898.080   1.258321E+12     0.973   0.000   0.000   0.027
    917.984   1.276188E+12     0.973   0.000   0.000   0.027
    937.888   1.293895E+12     0.973   0.000   0.000   0.027
    957.792   1.311447E+12     0.972   0.000   0.000   0.028
    977.696   1.328845E+12     0.972   0.000   0.000   0.028
    997.600   1.346095E+12     0.972   0.000   0.000   0.028
   1017.504   1.363199E+12     0.971   0.000   0.000   0.029
   1037.407   1.380161E+12     0.971   0.000   0.000   0.029
   1057.311   1.396983E+12     0.971   0.000   0.000   0.029
   1077.215   1.413669E+12     0.970   0.000   0.000   0.030
   1097.119   1.430221E+12     0.970   0.000   0.000   0.030
   1117.023   1.446642E+12     0.970   0.000   0.000   0.030
   1136.927   1.462935E+12     0.970   0.000   0.000   0.030
   1156.831   1.479101E+12     0.969   0.000   0.000   0.031
   1176.735   1.495144E+12     0.969   0.000   0.000   0.031
   1196.639   1.511065E+12     0.969   0.000   0.000   0.031
   1216.543   1.526867E+12     0.968   0.000   0.000   0.032
   1236.447   1.542552E+12     0.968   0.000   0.000   0.032
   1256.351   1.558122E+12     0.968   0.000   0.000   0.032
   1276.255   1.573578E+12     0.968   0.000   0.000   0.032
